date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2015-1-1,1,-3,4,-2,4,-20,16,1918,1966,0.00,3.05,5.21
2015-1-2,4,2,6,-2,4,-16,20,1918,1876,0.00,3.05,4.88
2015-1-3,3,1,6,-2,4,-20,17,1879,2000,18.03,3.05,6.15
2015-1-4,9,5,13,-3,4,-19,18,1918,1950,7.62,3.05,6.93
2015-1-5,2,-6,9,-3,3,-20,17,1904,1993,0.00,3.05,3.81
2015-1-6,-6,-7,-6,-3,3,-18,22,1896,2007,1.27,3.30,4.19
2015-1-7,-9,-13,-5,-3,3,-15,17,2014,1907,0.00,3.05,6.78
2015-1-8,-9,-13,-6,-3,3,-16,18,1968,1998,0.00,2.79,3.17
2015-1-9,-3,-7,1,-3,3,-18,17,1968,1937,1.78,3.30,3.61
2015-1-10,-7,-9,-5,-3,3,-21,15,1875,1876,0.00,3.05,4.57
2015-1-11,-2,-8,3,-3,3,-16,17,1968,1975,0.00,3.05,3.71
2015-1-12,3,2,4,-3,3,-16,18,1981,2017,9.14,3.30,5.97
2015-1-13,-3,-8,2,-3,3,-19,20,1914,1932,0.00,3.05,3.66
2015-1-14,-4,-9,0,-3,3,-20,21,1914,1932,0.00,3.05,5.23
2015-1-15,-1,-4,2,-3,3,-17,19,1957,1932,0.00,3.30,3.23
2015-1-16,0,-7,6,-3,3,-17,14,2004,1995,0.00,3.05,3.66
2015-1-17,-4,-8,0,-3,3,-18,17,1977,1990,0.00,3.05,3.45
2015-1-18,3,-1,6,-3,3,-17,18,1982,1990,53.34,2.79,5.33
2015-1-19,4,2,6,-3,3,-19,17,1875,1951,0.00,3.05,6.07
2015-1-20,2,0,4,-3,3,-17,16,1994,2006,0.00,2.79,3.58
2015-1-21,-1,-4,2,-3,3,-18,17,1985,2006,0.00,3.05,8.76
2015-1-22,2,-1,4,-3,3,-17,16,1888,1959,0.00,3.05,4.32
2015-1-23,1,-2,4,-3,3,-19,16,1936,1906,0.00,2.79,6.48
2015-1-24,2,1,4,-3,3,-21,20,1882,1967,18.29,2.79,5.54
2015-1-25,3,-1,6,-3,3,-16,15,1945,1967,0.00,2.79,4.57
2015-1-26,-3,-6,-1,-3,4,-16,22,1927,1950,12.19,2.79,5.56
2015-1-27,-4,-7,-1,-3,4,-18,20,1927,1916,9.14,2.79,4.93
2015-1-28,-4,-9,1,-3,4,-18,18,1925,1916,0.00,2.79,4.75
2015-1-29,-2,-7,2,-3,4,-17,20,1873,2002,0.51,2.79,2.62
2015-1-30,-2,-7,3,-3,4,-16,17,1873,2006,1.52,2.79,3.02
2015-1-31,-7,-11,-3,-3,4,-18,17,1920,1947,0.00,3.05,3.84
2015-2-1,-2,-7,2,-3,4,-18,19,1920,1989,0.76,2.79,5.38
2015-2-2,-4,-10,1,-3,4,-19,15,1881,1988,25.91,2.79,7.57
2015-2-3,-7,-11,-3,-3,4,-17,17,1955,1991,0.00,2.79,3.94
2015-2-4,1,-4,6,-2,4,-17,20,1918,1991,0.00,2.54,5.33
2015-2-5,-2,-10,6,-2,4,-21,21,1918,1991,0.00,2.79,3.63
2015-2-6,-7,-11,-3,-2,4,-20,20,1895,2008,0.00,2.79,6.96
2015-2-7,1,-4,4,-2,4,-17,12,1910,1938,0.51,2.79,7.52
2015-2-8,1,-2,3,-2,4,-21,16,1934,2017,0.00,2.79,2.92
2015-2-9,-3,-4,-2,-2,4,-26,17,1934,1990,2.29,2.54,4.42
2015-2-10,1,-3,4,-2,5,-21,16,1899,2001,0.25,2.79,6.68
2015-2-11,-2,-6,1,-2,5,-18,18,1899,1960,0.00,2.54,6.96
2015-2-12,-2,-9,4,-2,5,-19,16,1914,1999,0.0,2.79,4.22
2015-2-13,-9,-13,-6,-2,5,-18,17,1914,1951,0.00,2.54,6.15
2015-2-14,-4,-9,0,-2,5,-18,17,2016,1946,0.51,2.79,4.04
2015-2-15,-9,-16,-4,-2,6,-22,22,1943,1949,0.0,2.54,4.39
2015-2-16,-11,-16,-6,-2,6,-17,21,1888,1954,0.00,3.05,3.56
2015-2-17,-6,-10,-3,-2,6,-20,19,1896,1976,3.56,2.79,3.78
2015-2-18,-3,-7,1,-2,6,-17,20,1979,1981,0.0,2.79,3.81
2015-2-19,-8,-13,-3,-1,6,-17,18,1936,1997,0.00,2.79,5.46
2015-2-20,-12,-17,-7,-1,6,-16,20,2015,1939,0.00,2.79,7.80
2015-2-21,-5,-11,0,-1,6,-15,25,1896,2018,15.49,2.79,4.72
2015-2-22,3,0,6,-1,6,-13,20,1963,1997,2.54,2.79,6.07
2015-2-23,-5,-13,3,-1,6,-15,21,1889,1985,0.00,3.05,3.51
2015-2-24,-10,-16,-4,-1,7,-20,23,1873,1985,0.00,3.05,4.29
2015-2-25,-2,-7,3,-1,7,-17,23,1914,1930,0.00,2.79,5.36
2015-2-26,-3,-6,0,-1,7,-13,18,1990,1890,0.00,3.05,4.75
2015-2-27,-4,-8,-1,-1,7,-15,22,1900,1997,0.00,3.05,3.96
2015-2-28,-6,-11,-2,-1,7,-15,19,1934,1976,0.00,3.05,3.07
2015-3-1,-2,-4,-1,-1,7,-15,22,1884,1972,13.21,3.30,7.49
2015-3-2,1,-3,4,0,7,-12,22,1891,1972,0.00,3.05,6.12
